model,device,dtype,batch_size,avg_epoch_time_s,inference_time_s,vram_usage_mb,status
1_SimpleCNN,cuda,float32,32,15.526333252588907,10.916999101638794,22.94384765625,Success
1_SimpleCNN,cuda,float32,64,14.41543952624003,10.869312763214111,29.31982421875,Success
1_SimpleCNN,cuda,float32,128,14.143223762512207,10.864354610443115,42.07275390625,Success
1_SimpleCNN,cuda,float32,256,14.0563325881958,10.89242172241211,68.57861328125,Success
1_SimpleCNN,cuda,float16,32,14.744593222935995,10.845487594604492,19.8486328125,Success
1_SimpleCNN,cuda,float16,64,14.285392761230469,10.803130865097046,23.28662109375,Success
1_SimpleCNN,cuda,float16,128,14.094670534133911,10.758761644363403,30.1630859375,Success
1_SimpleCNN,cuda,float16,256,14.043704827626547,10.769316673278809,43.91650390625,Success
1_SimpleCNN,cuda,float64,32,14.834284464518229,11.164001226425171,29.6337890625,Success
1_SimpleCNN,cuda,float64,64,14.648278395334879,11.299999237060547,42.38623046875,Success
1_SimpleCNN,cuda,float64,128,14.817642768224081,11.127146244049072,68.8916015625,Success
1_SimpleCNN,cuda,float64,256,14.21486234664917,11.04349970817566,118.90234375,Success
2_MediumCNN,cuda,float32,32,15.268297672271729,10.879388093948364,62.77978515625,Success
2_MediumCNN,cuda,float32,64,14.535200039545694,10.776407241821289,91.08544921875,Success
2_MediumCNN,cuda,float32,128,14.270721594492594,10.768998861312866,145.83837890625,Success
2_MediumCNN,cuda,float32,256,14.071455081303915,10.787551879882812,212.84423828125,Success
2_MediumCNN,cuda,float16,32,15.389333168665567,10.950644254684448,26.77294921875,Success
2_MediumCNN,cuda,float16,64,14.523189067840576,10.82711410522461,33.1708984375,Success
2_MediumCNN,cuda,float16,128,14.262982368469238,10.764315128326416,49.95751953125,Success
2_MediumCNN,cuda,float16,256,14.10062026977539,10.770512104034424,80.80078125,Success
2_MediumCNN,cuda,float64,32,23.612077792485554,10.956719875335693,45.30517578125,Success
2_MediumCNN,cuda,float64,64,20.75802977879842,10.854126691818237,70.5576171875,Success
2_MediumCNN,cuda,float64,128,20.127724488576252,10.857454061508179,119.56298828125,Success
2_MediumCNN,cuda,float64,256,19.808292627334595,10.873098850250244,218.57373046875,Success
3_ComplexCNN,cuda,float32,32,17.421467781066895,10.895652055740356,197.38037109375,Success
3_ComplexCNN,cuda,float32,64,15.44872260093689,10.9027099609375,141.18603515625,Success
3_ComplexCNN,cuda,float32,128,14.979939699172974,10.884999752044678,224.93896484375,Success
