model,device,dtype,batch_size,avg_epoch_time_s,inference_time_s,vram_usage_mb,status
1_SimpleCNN,cpu,float32,32,5.367867310841878,0.39743638038635254,0,Success
1_SimpleCNN,cpu,float32,64,3.6488561630249023,0.24178051948547363,0,Success
1_SimpleCNN,cpu,float32,128,11136.74770228068,0.9717011451721191,0,Success
1_SimpleCNN,cpu,float32,256,3.1040032704671225,0.13742995262145996,0,Success
1_SimpleCNN,cpu,float64,32,11.075344483057657,0.37318849563598633,0,Success
1_SimpleCNN,cpu,float64,64,9.154582738876343,0.26892566680908203,0,Success
1_SimpleCNN,cpu,float64,128,8.226415395736694,0.15608906745910645,0,Success
1_SimpleCNN,cpu,float64,256,8.21390994389852,0.14693641662597656,0,Success
2_MediumCNN_Dozent,cpu,float32,32,15.326456546783447,0.6614112854003906,0,Success
2_MediumCNN_Dozent,cpu,float32,64,14.959466536839804,0.2768971920013428,0,Success
2_MediumCNN_Dozent,cpu,float32,128,13.668197552363077,0.2202315330505371,0,Success
2_MediumCNN_Dozent,cpu,float32,256,15.863690455754599,0.21205997467041016,0,Success
2_MediumCNN_Dozent,cpu,float64,32,76.03155056635539,0.4545867443084717,0,Success
2_MediumCNN_Dozent,cpu,float64,64,66.80113355318706,0.28752899169921875,0,Success
2_MediumCNN_Dozent,cpu,float64,128,63.61825227737427,0.21021628379821777,0,Success
2_MediumCNN_Dozent,cpu,float64,256,65.3886529604594,0.2417902946472168,0,Success
3_ComplexCNN,cpu,float32,32,84.63579551378886,0.4688549041748047,0,Success
3_ComplexCNN,cpu,float32,64,78.92149130503337,0.34432172775268555,0,Success
3_ComplexCNN,cpu,float32,128,74.98863005638123,0.30802321434020996,0,Success
3_ComplexCNN,cpu,float32,256,81.14654620488484,0.23614788055419922,0,Success
3_ComplexCNN,cpu,float64,32,451.84524869918823,0.6164939403533936,0,Success
3_ComplexCNN,cpu,float64,64,470.22505044937134,0.506157398223877,0,Success
3_ComplexCNN,cpu,float64,128,451.30554644266766,0.6663415431976318,0,Success
3_ComplexCNN,cpu,float64,256,359.61153626441956,0.20330214500427246,0,Success
